;Title;Date;Authors;Tags;NLP Keywords;Url
18;COVID-19: What is Plan B, will it stop the Omicron variant, and could we have another lockdown?;Monday 13 December 2021 07:21, UK;[];['covid-19'];['powell', 'covid19', 'stop', 'variant', 'plan', 'sky', 'omicron', 'rob', 'b', 'restrictions', 'lockdown', 'country'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/covid-19-what-is-plan-b-will-it-stop-the-omicron-variant-and-could-we-have-another-lockdown-12490991
19;Video: Will Putin go to war with Ukraine?;Wednesday 8 December 2021 11:50, UK;[];['russia', 'ukraine', 'vladimir putin'];['video', 'putin', 'ready', 'troops', 'resembling', 'war', 'ukrainerussia', 'scenes', 'seized', 'russia', 'ukraine'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/russia-will-putin-go-to-war-with-ukraine-12489774
20;COVID-19: Inside a Cambridge research lab battling Omicron - video;Tuesday 7 December 2021 15:31, UK;[];['omicron'];['video', 'covid19', 'science', 'research', 'inside', 'wellcome', 'clarke', 'institute', 'tom', 'editor', 'cambridge', 'omicron', 'lab', 'battling', 'sanger', 'technology', 'playerskys'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/covid-19-inside-a-cambridge-research-lab-battling-omicron-video-12489167
21;English Channel deaths: How the tragedy unfolded and 27 people lost their lives;Wednesday 15 December 2021 08:26, UK;[];['migrant crossings'];['english', 'help', 'respond', 'unfolded', 'lost', 'waters', 'lives', 'deaths', 'channel', 'livessurvivors', 'information', 'tragedy', 'french', '27'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/english-channel-deaths-how-the-incident-unfolded-and-27-people-lost-their-lives-12485609
22;Omicron: Sky news goes inside the lab where live samples of the new variant are being tested - video;Thursday 2 December 2021 17:10, UK;[];['omicron'];['video', 'inside', 'variant', 'sky', 'samples', 'tom', 'goes', 'omicron', 'virus', 'lab', 'videosky', 'live', 'technology', 'tested', 'testing'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/omicron-sky-news-goes-inside-the-lab-where-live-samples-of-the-new-variant-are-being-tested-12484566
23;Climate change: How an invasive water hyacinth is being turned into biofuel in Kenya;Wednesday 29 December 2021 16:58, UK;[];['kenya', 'climate change'];['biofuel', 'climate', 'kenya', 'change', 'originally', 'victoria', 'lake', 'turned', 'south', 'hyacinth', 'water', 'species', 'plant', 'invasive'];https://web.archive.org/web/20220101000713/http://news.sky.com/video/climate-change-how-an-invasive-plant-is-being-turned-into-biofuel-in-kenya-12505844
24;Violence is part of this London gang member's daily life - and now he's ready to talk about it;Thursday 23 December 2021 15:49, UK;[];[];['mark', 'ready', 'london', 'lot', 'youre', 'gang', 'know', 'knife', 'boys', 'violence', 'hes', 'daily', 'stab', 'stabbed', 'members', 'talk', 'life'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/violence-is-part-of-this-london-gang-members-daily-life-and-now-hes-ready-to-talk-about-it-12499826
25;Ghislaine Maxwell: How girls were lured to be abused by Jeffrey Epstein;Thursday 30 December 2021 08:39, UK;[];['ghislaine maxwell', 'jeffrey epstein'];['girls', 'maxwell', 'ghislaine', 'sexual', 'lured', 'epstein', 'farmer', 'epsteins', 'abused', 'massage', 'told', 'recalled', 'jeffrey', 'gave'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/ghislaine-maxwell-how-girls-were-lured-to-be-abused-by-jeffrey-epstein-12500819
26;Boy becomes 30th teenage homicide victim in London this year - a new record;Friday 31 December 2021 16:43, UK;[];[];['london', 'boy', 'crime', 'park', 'met', 'teenage', 'knife', '30th', 'murray', 'violence', 'record', 'homicide', 'families', 'victim'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/south-london-murder-equals-highest-ever-number-of-teenage-homicides-in-the-capital-in-one-year-12506615
27;UK weather: Britain marks warmest New Year's Eve on record with temperatures reaching 15.8C;Friday 31 December 2021 15:28, UK;[];['weather'];['uk', 'recorded', 'eve', 'reaching', 'temperatures', 'met', 'climb', 'afternoon', '158c', 'office', 'warmest', 'record', 'weather', 'britain', 'marks', 'mild', 'country'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/uk-weather-britain-marks-hottest-new-years-eve-on-record-with-temperatures-reaching-14-9c-12506757
28;Arthur Labinjo-Hughes: Sentences for boy's father and stepmother referred for being too lenient;Friday 31 December 2021 15:38, UK;[];['arthur labinjo-hughes'];['video', 'guilty', 'thomas', 'arthur', 'referred', 'sentences', 'tustin', 'boys', 'case', 'lenient', 'father', 'court', 'public', 'labinjohughes', 'hughes', 'stepmother'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/arthur-labinjo-hughes-sentences-for-boys-father-and-stepmother-referred-for-being-too-lenient-12506840
29;Colorado wildfires: Hundreds of homes destroyed and tens of thousands evacuated;Friday 31 December 2021 10:46, UK;[];[];['video', 'state', 'homes', 'fires', 'thousands', 'colorado', 'west', 'snow', 'evacuated', 'wildfires', 'hundreds', 'superior', 'smoke', 'destroyed', 'tens', 'spread'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/colorado-wildfires-hundreds-of-homes-destroyed-and-tens-of-thousands-evacuated-12506670
30;Prince Andrew's accuser Virginia Giuffre insists she is US resident and so lawsuit can continue;Friday 31 December 2021 14:51, UK;[];['ghislaine maxwell', 'jeffrey epstein', 'prince andrew'];['lawsuit', 'york', 'lawyers', 'prince', 'accuser', 'giuffre', 'epstein', 'insists', 'resident', 'ms', 'giuffres', 'andrew', 'week', 'court', 'continue', 'andrews', 'virginia'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/prince-andrews-accuser-virginia-giuffre-insists-she-is-us-resident-and-so-lawsuit-can-continue-12506626
31;Dinosaur footprints discovered on South Wales beach date back 200 million years, experts believe;Friday 31 December 2021 15:50, UK;['lucia binding', '@luciabinding'];['wales'];['footprints', 'date', 'believe', 'trackways', 'penarth', 'beach', 'early', 'impressions', 'million', 'discovered', 'dinosaur', 'animal', 'experts', 'sauropod', 'triassic', 'wales', 'relative', 'south'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/dinosaur-footprints-discovered-on-south-wales-beach-date-back-200-million-years-experts-believe-12506704
32;Nicolas Cage: 'Don't call me an actor, call me a thespian', says 'pretentious' Oscar-winner;Friday 31 December 2021 10:50, UK;[];[];['cage', 'great', 'dont', 'oscarwinner', 'youre', 'nicolas', 'sounding', 'going', 'pretentious', 'actor', 'say', 'im', 'thespian', 'imagination'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/nicolas-cage-dont-call-me-an-actor-call-me-a-thespian-says-pretentious-oscar-winner-12506671
33;COVID-19: 'Significant increases' in patients with coronavirus - as Northampton hospital suspends visitors;Friday 31 December 2021 15:22, UK;[];[];['patients', 'covid19', 'suspends', 'nhs', 'health', 'england', 'northampton', 'covid', 'increases', 'surge', 'visitors', 'significant', 'hospital', 'number', 'coronavirus', 'told', 'staff'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-significant-increase-of-patients-with-coronavirus-as-northampton-hospital-suspends-visitations-12506682
34;Ban on loyalty penalty for car and home insurance customers set to take effect;Friday 31 December 2021 11:30, UK;[];[];['set', 'penalty', 'renewal', 'ban', 'consumers', 'loyalty', 'rules', 'customers', 'insurance', 'price', 'offer', 'car', 'longer', 'firms', 'shop', 'effect'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/ban-on-loyalty-penalty-for-car-and-home-insurance-customers-set-to-take-effect-12506719
35;Fire, ice and floods in a year that sent climate warnings into overdrive - but are there also reasons to hope?;Wednesday 29 December 2021 02:14, UK;['hannah thomas-peter', '@hannahtpsky'];['cop26', 'climate change', 'extreme weather'];['video', 'warnings', 'reasons', 'climate', 'warming', 'nations', 'browser', 'change', 'ice', 'player', 'sent', 'chrome', 'overdrive', 'accessible', 'hope', 'fossil', 'floods'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/fire-ice-and-floods-in-a-year-that-sent-climate-warnings-into-overdrive-but-are-there-also-reasons-to-hope-12497531
36;'Eye-watering' costs of 2021's environmental disasters revealed - as leaders urged to make climate change a priority;Monday 27 December 2021 01:33, UK;[];['climate crisis'];['climate', 'costs', 'storm', 'environmental', 'floods', 'led', 'change', 'worth', 'damage', 'caused', 'priority', 'eyewatering', 'disasters', 'leaders', 'revealed', 'temperatures', 'urged', 'flooding', 'texas'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/eye-watering-costs-of-2021s-environmental-disasters-revealed-as-leaders-urged-to-make-climate-change-a-priority-12504051
37;Baked Alaska - warm spell in coldest US state sees records broken but brings heavy snow and 'cement'-like ice;Wednesday 29 December 2021 15:06, UK;['philip whiteside'];['climate change', 'extreme weather'];['state', 'heavy', 'temperature', 'cementlike', 'alaska', 'washington', 'thoman', 'temperatures', 'ice', 'snow', 'sees', 'weather', 'record', 'records', 'warm', 'spell', 'coldest'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/baked-alaska-warm-spell-in-coldest-us-state-sees-records-broken-but-brings-heavy-snow-and-cement-like-ice-12505594
38;Why are so many environmental activists being killed in Colombia?;Tuesday 28 December 2021 03:41, UK;['victoria seabrook', '@seabrookclimate'];['colombia', 'climate change'];['peace', 'climate', 'agreement', 'activists', 'rights', 'leaders', 'colombia', 'groups', 'armed', 'environmental', 'killed', 'land', 'indigenous'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/why-are-so-many-environmental-activists-being-killed-in-colombia-12500837
39;2021: A year of some of the most extreme weather ever seen;;[];[];['rain', 'york', 'heavy', 'saw', 'area', 'seen', '2021', 'weather', 'hit', 'records', 'extreme', 'wettest', 'highway'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/2021-a-year-of-some-of-the-most-extreme-weather-ever-seen-12495126
40;Scotland's ancient forests facing a 'biodiversity crisis' from non-native tree planting;Tuesday 28 December 2021 08:18, UK;['james matthews', '@jamesmatthewsky'];[];['woodland', 'need', 'nonnative', 'forests', 'facing', 'crisis', 'woodlands', 'biodiversity', 'native', 'trees', 'planting', 'scottish', 'tree', 'species', 'ancient', 'scotlands'];https://web.archive.org/web/20220101000713/http://news.sky.com/story/scotlands-ancient-forests-facing-a-biodiversity-crisis-from-non-native-tree-planting-12502002
41;London's New Year's Eve display lights up capital's skyline as UK ushers in 2022;Saturday 1 January 2022 01:02, UK;[];[];['uk', 'nations', 'display', 'eve', 'sky', 'skyline', 'ushers', 'capitals', '2022', 'urged', 'stay', 'lights', 'restrictions', 'londons', 'spectacular', 'scotland', 'wales', 'square'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/londons-new-years-eve-display-lights-up-capitals-skyline-as-uk-ushers-in-2022-12506971
42;COVID-19: What will the pandemic mean for the UK in 2022? Experts give their predictions;Friday 31 December 2021 02:23, UK;[];['covid-19', 'coronavirus', 'omicron'];['covid19', 'need', 'covid', 'uk', 'likely', 'pandemic', 'vaccines', 'omicron', '2022', 'mean', 'think', 'restrictions', 'going', 'support', 'predictions', 'experts'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/covid-19-what-will-the-pandemic-mean-for-the-uk-in-2022-experts-give-their-predictions-12501196
43;COVID-19 UK daily tracker: What is the state of the pandemic near you?;Thursday 16 December 2021 08:44, UK;['amy borrett', '@amy_borrett'];['covid', 'coronavirus', 'data and forensics'];['nhs', 'covid19', 'state', 'uk', 'parts', 'sky', 'tracker', 'pandemic', 'rates', 'daily', 'near', 'data', 'journalism', 'link', 'infections'];https://web.archive.org/web/20220101010746/https://news.sky.com/story/covid-19-uk-daily-tracker-what-is-the-state-of-the-pandemic-near-you-12367016
44;COVID-19: What are the rules in the UK's four nations for Christmas and beyond?;Friday 24 December 2021 10:08, UK;['megan baynes', '@megbaynes'];['covid-19', 'coronavirus'];['covid19', 'nations', 'uks', 'christmas', 'rules', 'restrictions', 'school', 'test', 'events', 'indoor', 'public', 'selfisolate'];https://web.archive.org/web/20220101010746/https://news.sky.com/story/covid-19-what-are-the-rules-in-the-uks-four-nations-for-christmas-and-beyond-12501836
45;COVID-19: Christmas Day on a coronavirus ward at the Royal Preston Hospital;Sunday 26 December 2021 05:04, UK;['inzamam rashid', '@inzyrashid'];[];['nhs', 'covid19', 'covid', 'patients', 'royal', 'munavvar', 'preston', 'christmas', 'hospital', 'day', 'number', 'whove', 'ward', 'coronavirus', 'staff'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/covid-19-christmas-day-on-a-coronavirus-ward-at-the-royal-preston-hospital-12503771
46;COVID-19: New coronavirus restrictions 'could be in place until late March' under measures examined by scientific advisers;Saturday 25 December 2021 19:20, UK;[];['covid-19', 'coronavirus'];['measures', 'covid19', 'uk', 'variant', 'place', 'late', 'restrictions', 'number', 'reduce', 'reduction', 'modelling', 'coronavirus', 'examined', 'scientific', '28', 'advisers'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/covid-19-new-coronavirus-restrictions-could-be-in-place-until-late-march-under-measures-examined-by-scientific-advisers-12503598
47;COVID-19: Record number of daily cases detected in UK - but could the real number be thousands higher?;Thursday 23 December 2021 11:17, UK;['ganesh rao'];['covid-19', 'coronavirus', 'data and forensics'];['covid19', 'uk', 'real', 'higher', 'detected', 'likely', 'shows', 'thousands', 'cases', 'tests', 'rate', 'rise', 'number', 'record', 'daily', 'data', 'infections', 'testing'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/covid-19-record-number-of-daily-cases-detected-in-uk-but-could-the-real-number-be-thousands-higher-12502283
48;COVID-19: Scientists in Thailand using tobacco leaves to develop plant-based vaccine to fight Omicron;Saturday 25 December 2021 11:54, UK;['siobhan robbins', '@siobhanrobbins'];['covid-19', 'coronavirus', 'thailand', 'vaccination'];['leaves', 'covid19', 'vaccine', 'produce', 'develop', 'scientists', 'used', 'trials', 'vaccines', 'thailand', 'omicron', 'fight', 'using', 'tobacco', 'plantbased', 'say', 'dr'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/covid-19-scientists-in-thailand-using-tobacco-leaves-to-develop-plant-based-vaccine-to-fight-omicron-12502577
49;COVID-19: People with Omicron less likely to be hospitalised than those with Delta, study in England suggests;Thursday 23 December 2021 07:53, UK;[];['covid-19', 'coronavirus', 'omicron'];['england', 'covid19', 'uk', 'likely', 'cases', 'study', 'omicron', 'hospitalisation', 'compared', 'hospital', 'hospitalised', 'risk', 'delta', 'suggests'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/covid-risk-of-hospitalisation-with-omicron-appears-to-be-two-thirds-lower-than-with-delta-scotland-study-suggests-12502277
50;COVID-19: Impact of lockdown on children's development will 'last for years and years';Thursday 23 December 2021 10:51, UK;['becky johnson', '@beckyjohnsonsky'];['covid-19', 'lockdown'];['covid19', 'schools', 'speech', 'working', 'works', 'language', 'impact', 'children', 'young', 'lockdown', 'skills', 'development', 'childrens'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/covid-19-impact-of-lockdown-on-childrens-development-will-last-for-years-and-years-12500806
51;COVID-19: Government advisers recommend jab for vulnerable five to-11 year-olds;Thursday 23 December 2021 07:53, UK;[];['covid-19', 'coronavirus', 'omicron', 'vaccination'];['to11', 'recommend', 'yearolds', 'covid19', 'vaccine', 'aged', 'primary', 'safety', 'statement', 'vulnerable', 'jab', 'risk', 'offered', 'jcvi', 'children', 'advisers'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/covid-19-government-advisers-recommend-jab-for-vulnerable-five-to-11-year-olds-12502122
52;COVID-19 and Omicron rise: How are countries around the world responding to the increasing cases?;Wednesday 22 December 2021 16:01, UK;['amar mehta', '@amarjournalist_'];['covid', 'covid-19', 'coronavirus', 'finland', 'france', 'germany', 'italy', 'japan', 'netherlands', 'portugal', 'south korea', 'spain', 'united states'];['covid19', 'variant', 'increasing', 'cases', 'world', 'countries', 'reported', 'omicron', 'responding', 'rise', 'restrictions', 'south', 'vaccinated', 'country', 'seven'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/covid-19-and-omicron-rise-how-are-countries-around-the-world-responding-to-the-increasing-cases-12500705
53;Omicron: What do COVID hospitalisation figures in London tell us about how severe the new variant is?;Wednesday 22 December 2021 00:21, UK;[];['covid-19', 'data and forensics', 'omicron'];['covid', 'london', 'variant', 'cases', 'figures', 'case', 'omicron', 'hospitalisation', 'older', 'week', 'tell', 'severe', 'over60s', 'terms', 'hospitalisations'];https://web.archive.org/web/20220101010746/https://news.sky.com/story/omicron-what-do-covid-hospitalisation-figures-in-london-tell-us-about-how-severe-the-new-variant-is-12501451
54;COVID: Booster vaccine programmes 'likely to prolong the pandemic', WHO chief warns;Thursday 23 December 2021 00:43, UK;[];['omicron'];['chief', 'vaccine', 'covid', 'booster', 'adhanom', 'likely', 'prolong', 'pandemic', 'countries', '40', 'programmes', 'target', 'whos', 'supply', 'warns', 'vaccines', 'ghebreyesus'];https://web.archive.org/web/20220101010746/http://news.sky.com/story/booster-vaccine-programmes-likely-to-prolong-the-pandemic-who-chief-warns-12502269
55;Watch London's spectacular New Year's Eve display as drones and fireworks light up capital's skyline;Saturday 1 January 2022 00:35, UK;[];[];['watch', 'playerpeople', 'skyline', 'drones', 'spectacular', 'turn', 'ring', 'video', 'event', 'light', 'london', 'fireworks', 'stay', 'londons', 'television', 'display', 'eve', 'capitals', 'urged'];https://web.archive.org/web/20220101010746/http://news.sky.com/video/watch-as-london-rings-in-the-new-year-12506984
56;USA: Snow-laden tree falls onto parked truck;Friday 31 December 2021 23:28, UK;[];[];['power', 'usa', 'snowladen', 'truck', 'recorded', 'falls', 'snow', 'trucksnowfall', 'sierra', 'tree', 'uc', 'placerville', 'parked'];https://web.archive.org/web/20220101010746/http://news.sky.com/video/usa-snow-laden-tree-falls-onto-parked-truck-12506979
57;Betty White meeting her waxwork model in 2012;Friday 31 December 2021 22:05, UK;[];[];['quirky', 'style', 'model', 'witty', 'betty', 'outspoken', 'waxwork', 'roster', 'rose', 'nylund', 'oddball', 'white', 'meeting'];https://web.archive.org/web/20220101010746/http://news.sky.com/video/betty-white-meeting-her-waxwork-model-in-2012-12506969
58;New Years Eve celebrations in Pyongyang and Hong Kong;Friday 31 December 2021 18:45, UK;[];[];['video', 'kong', 'eve', 'thousands', 'celebrated', 'skies', 'chrome', 'playerfireworks', 'pyongyang', 'hong', 'lit', 'celebrations'];https://web.archive.org/web/20220101010746/http://news.sky.com/video/new-years-eve-nye-celebrations-in-pyongyang-and-hong-kong-12506940
59;Colorado wildfires: Homes set ablaze as urban wildfire streaks through Colorado;Friday 31 December 2021 23:25, UK;[];['colorado'];['wildfire', 'streaks', 'set', 'homes', 'ablaze', 'colorado', 'wildfires', 'urban', 'residents', 'superior', 'short', 'town'];https://web.archive.org/web/20220101010746/http://news.sky.com/video/colorado-wildfires-homes-set-ablaze-as-urban-wildfire-streaks-through-colorado-12506980
60;Typhoon Rai batters church during mass in Philippines;Tuesday 21 December 2021 10:32, UK;[];['philippines'];['rain', 'prevent', 'philippines', 'lashes', 'mass', 'church', 'priest', 'typhoon', 'batters', 'rai', 'wind', 'philippinesdeadly'];https://web.archive.org/web/20220101010746/http://news.sky.com/video/typhoon-rai-batters-church-during-mass-in-philippines-12501231
61;Mudslide destroys Bolivian bridge and thoroughfare;Tuesday 21 December 2021 08:16, UK;[];['bolivia', 'floods'];['destroys', 'video', 'rain', 'mudslide', 'thoroughfare', 'houses', 'playerheavy', 'reported', 'bridge', 'crops', 'bolivian', 'vicinity', 'chrome', 'deaths', 'devastates'];https://web.archive.org/web/20220101010746/http://news.sky.com/video/mudslide-destroys-bolivian-bridge-and-thoroughfare-12501153
62;Actor Jason Isaacs on why he chose to star in 'Mass';Thursday 30 December 2021 08:49, UK;[];[];['isaacs', 'sets', 'privately', 'star', 'unspeakable', 'massmass', 'mass', 'jason', 'parents', 'looks', 'tore', 'actor', 'chose', 'tragedy', 'talk'];https://web.archive.org/web/20220101010746/http://news.sky.com/video/actor-jason-isaacs-on-why-he-chose-to-star-in-mass-12506139
63;Rising costs: 'I can't afford to give my grandchild a gift';Wednesday 29 December 2021 20:23, UK;[];['universal credit'];['resolution', 'foundation', 'face', 'rising', 'grandchild', 'costs', 'cant', 'incomes', 'hit', 'gift', 'afford', 'taxes', 'gifthouseholds', 'whammy'];https://web.archive.org/web/20220101010746/http://news.sky.com/video/rising-costs-i-cant-afford-to-give-my-grandchild-a-gift-12505927
